All are total faces.
Top: 42195 	 Side: 291 	 Total: 42486 	 n-gon: 584
Top: 42486 	 Side: 292 	 Total: 42778 	 n-gon: 586
Top: 42778 	 Side: 293 	 Total: 43071 	 n-gon: 588
Top: 43071 	 Side: 294 	 Total: 43365 	 n-gon: 590
Top: 43365 	 Side: 295 	 Total: 43660 	 n-gon: 592
Top: 43660 	 Side: 296 	 Total: 43956 	 n-gon: 594
Top: 43956 	 Side: 297 	 Total: 44253 	 n-gon: 596
Top: 44253 	 Side: 298 	 Total: 44551 	 n-gon: 598
Top: 44551 	 Side: 299 	 Total: 44850 	 n-gon: 600
Top: 44850 	 Side: 300 	 Total: 45150 	 n-gon: 602
Top: 45150 	 Side: 301 	 Total: 45451 	 n-gon: 604
Top: 45451 	 Side: 302 	 Total: 45753 	 n-gon: 606
Top: 45753 	 Side: 303 	 Total: 46056 	 n-gon: 608
Top: 46056 	 Side: 304 	 Total: 46360 	 n-gon: 610
Top: 46360 	 Side: 305 	 Total: 46665 	 n-gon: 612
Top: 46665 	 Side: 306 	 Total: 46971 	 n-gon: 614
Top: 46971 	 Side: 307 	 Total: 47278 	 n-gon: 616
Top: 47278 	 Side: 308 	 Total: 47586 	 n-gon: 618
Top: 47586 	 Side: 309 	 Total: 47895 	 n-gon: 620
Top: 47895 	 Side: 310 	 Total: 48205 	 n-gon: 622
Top: 48205 	 Side: 311 	 Total: 48516 	 n-gon: 624
Top: 48516 	 Side: 312 	 Total: 48828 	 n-gon: 626
Top: 48828 	 Side: 313 	 Total: 49141 	 n-gon: 628
Top: 49141 	 Side: 314 	 Total: 49455 	 n-gon: 630
Top: 49455 	 Side: 315 	 Total: 49770 	 n-gon: 632
Top: 49770 	 Side: 316 	 Total: 50086 	 n-gon: 634
Top: 50086 	 Side: 317 	 Total: 50403 	 n-gon: 636
Top: 50403 	 Side: 318 	 Total: 50721 	 n-gon: 638
Top: 50721 	 Side: 319 	 Total: 51040 	 n-gon: 640
Top: 51040 	 Side: 320 	 Total: 51360 	 n-gon: 642
Top: 51360 	 Side: 321 	 Total: 51681 	 n-gon: 644
Top: 51681 	 Side: 322 	 Total: 52003 	 n-gon: 646
Top: 52003 	 Side: 323 	 Total: 52326 	 n-gon: 648
Top: 52326 	 Side: 324 	 Total: 52650 	 n-gon: 650
Top: 52650 	 Side: 325 	 Total: 52975 	 n-gon: 652
Top: 52975 	 Side: 326 	 Total: 53301 	 n-gon: 654
Top: 53301 	 Side: 327 	 Total: 53628 	 n-gon: 656
Top: 53628 	 Side: 328 	 Total: 53956 	 n-gon: 658
Top: 53956 	 Side: 329 	 Total: 54285 	 n-gon: 660
Top: 54285 	 Side: 330 	 Total: 54615 	 n-gon: 662
Top: 54615 	 Side: 331 	 Total: 54946 	 n-gon: 664
Top: 54946 	 Side: 332 	 Total: 55278 	 n-gon: 666
Top: 55278 	 Side: 333 	 Total: 55611 	 n-gon: 668
Top: 55611 	 Side: 334 	 Total: 55945 	 n-gon: 670
Top: 55945 	 Side: 335 	 Total: 56280 	 n-gon: 672
Top: 56280 	 Side: 336 	 Total: 56616 	 n-gon: 674
Top: 56616 	 Side: 337 	 Total: 56953 	 n-gon: 676
Top: 56953 	 Side: 338 	 Total: 57291 	 n-gon: 678
Top: 57291 	 Side: 339 	 Total: 57630 	 n-gon: 680
Top: 57630 	 Side: 340 	 Total: 57970 	 n-gon: 682
Top: 57970 	 Side: 341 	 Total: 58311 	 n-gon: 684
Top: 58311 	 Side: 342 	 Total: 58653 	 n-gon: 686
Top: 58653 	 Side: 343 	 Total: 58996 	 n-gon: 688
Top: 58996 	 Side: 344 	 Total: 59340 	 n-gon: 690
Top: 59340 	 Side: 345 	 Total: 59685 	 n-gon: 692
Top: 59685 	 Side: 346 	 Total: 60031 	 n-gon: 694
Top: 60031 	 Side: 347 	 Total: 60378 	 n-gon: 696
Top: 60378 	 Side: 348 	 Total: 60726 	 n-gon: 698
Top: 60726 	 Side: 349 	 Total: 61075 	 n-gon: 700
Top: 61075 	 Side: 350 	 Total: 61425 	 n-gon: 702
Top: 61425 	 Side: 351 	 Total: 61776 	 n-gon: 704
Top: 61776 	 Side: 352 	 Total: 62128 	 n-gon: 706
Top: 62128 	 Side: 353 	 Total: 62481 	 n-gon: 708
Top: 62481 	 Side: 354 	 Total: 62835 	 n-gon: 710
Top: 62835 	 Side: 355 	 Total: 63190 	 n-gon: 712
Top: 63190 	 Side: 356 	 Total: 63546 	 n-gon: 714
Top: 63546 	 Side: 357 	 Total: 63903 	 n-gon: 716
Top: 63903 	 Side: 358 	 Total: 64261 	 n-gon: 718
Top: 64261 	 Side: 359 	 Total: 64620 	 n-gon: 720
Top: 64620 	 Side: 360 	 Total: 64980 	 n-gon: 722
Top: 64980 	 Side: 361 	 Total: 65341 	 n-gon: 724
Top: 65341 	 Side: 362 	 Total: 65703 	 n-gon: 726
Top: 65703 	 Side: 363 	 Total: 66066 	 n-gon: 728
Top: 66066 	 Side: 364 	 Total: 66430 	 n-gon: 730
Top: 66430 	 Side: 365 	 Total: 66795 	 n-gon: 732
Top: 66795 	 Side: 366 	 Total: 67161 	 n-gon: 734
Top: 67161 	 Side: 367 	 Total: 67528 	 n-gon: 736
Top: 67528 	 Side: 368 	 Total: 67896 	 n-gon: 738
Top: 67896 	 Side: 369 	 Total: 68265 	 n-gon: 740
Top: 68265 	 Side: 370 	 Total: 68635 	 n-gon: 742
Top: 68635 	 Side: 371 	 Total: 69006 	 n-gon: 744
Top: 69006 	 Side: 372 	 Total: 69378 	 n-gon: 746
Top: 69378 	 Side: 373 	 Total: 69751 	 n-gon: 748
Top: 69751 	 Side: 374 	 Total: 70125 	 n-gon: 750
Top: 70125 	 Side: 375 	 Total: 70500 	 n-gon: 752
Top: 70500 	 Side: 376 	 Total: 70876 	 n-gon: 754
Top: 70876 	 Side: 377 	 Total: 71253 	 n-gon: 756
Top: 71253 	 Side: 378 	 Total: 71631 	 n-gon: 758
Top: 71631 	 Side: 379 	 Total: 72010 	 n-gon: 760
Top: 72010 	 Side: 380 	 Total: 72390 	 n-gon: 762
Top: 72390 	 Side: 381 	 Total: 72771 	 n-gon: 764
Top: 72771 	 Side: 382 	 Total: 73153 	 n-gon: 766
Top: 73153 	 Side: 383 	 Total: 73536 	 n-gon: 768
Top: 73536 	 Side: 384 	 Total: 73920 	 n-gon: 770
Top: 73920 	 Side: 385 	 Total: 74305 	 n-gon: 772
Top: 74305 	 Side: 386 	 Total: 74691 	 n-gon: 774
Top: 74691 	 Side: 387 	 Total: 75078 	 n-gon: 776
Top: 75078 	 Side: 388 	 Total: 75466 	 n-gon: 778
Top: 75466 	 Side: 389 	 Total: 75855 	 n-gon: 780
Top: 75855 	 Side: 390 	 Total: 76245 	 n-gon: 782
Top: 76245 	 Side: 391 	 Total: 76636 	 n-gon: 784
Top: 76636 	 Side: 392 	 Total: 77028 	 n-gon: 786
Top: 77028 	 Side: 393 	 Total: 77421 	 n-gon: 788
Top: 77421 	 Side: 394 	 Total: 77815 	 n-gon: 790
Top: 77815 	 Side: 395 	 Total: 78210 	 n-gon: 792
Top: 78210 	 Side: 396 	 Total: 78606 	 n-gon: 794
Top: 78606 	 Side: 397 	 Total: 79003 	 n-gon: 796
Top: 79003 	 Side: 398 	 Total: 79401 	 n-gon: 798
Top: 79401 	 Side: 399 	 Total: 79800 	 n-gon: 800
Top: 79800 	 Side: 400 	 Total: 80200 	 n-gon: 802
Top: 80200 	 Side: 401 	 Total: 80601 	 n-gon: 804
Top: 80601 	 Side: 402 	 Total: 81003 	 n-gon: 806
Top: 81003 	 Side: 403 	 Total: 81406 	 n-gon: 808
Top: 81406 	 Side: 404 	 Total: 81810 	 n-gon: 810
Top: 81810 	 Side: 405 	 Total: 82215 	 n-gon: 812
Top: 82215 	 Side: 406 	 Total: 82621 	 n-gon: 814
Top: 82621 	 Side: 407 	 Total: 83028 	 n-gon: 816
Top: 83028 	 Side: 408 	 Total: 83436 	 n-gon: 818
Top: 83436 	 Side: 409 	 Total: 83845 	 n-gon: 820
Top: 83845 	 Side: 410 	 Total: 84255 	 n-gon: 822
Top: 84255 	 Side: 411 	 Total: 84666 	 n-gon: 824
Top: 84666 	 Side: 412 	 Total: 85078 	 n-gon: 826
Top: 85078 	 Side: 413 	 Total: 85491 	 n-gon: 828
